Country,Continent,Last,Unit
Libya,Africa,1135,BBL/D/1K
Angola,Africa,1063,BBL/D/1K
Algeria,Africa,999,BBL/D/1K
Nigeria,Africa,999,BBL/D/1K
Egypt,Africa,560,BBL/D/1K
Republic of the Congo,Africa,277,BBL/D/1K
Gabon,Africa,197,BBL/D/1K
Ghana,Africa,177,BBL/D/1K
Chad,Africa,89,BBL/D/1K
Sudan,Africa,74,BBL/D/1K
Cameroon,Africa,56,BBL/D/1K
Equatorial Guinea,Africa,49,BBL/D/1K
Ivory Coast,Africa,30,BBL/D/1K
Tunisia,Africa,30,BBL/D/1K
Congo,Africa,19,BBL/D/1K
Saudi Arabia,Asia,10461,BBL/D/1K
China,Asia,4295,BBL/D/1K
Iraq,Asia,4200,BBL/D/1K
United Arab Emirates,Asia,3041,BBL/D/1K
Kuwait,Asia,2676,BBL/D/1K
Iran,Asia,2630,BBL/D/1K
Kazakhstan,Asia,1912,BBL/D/1K
Qatar,Asia,1322,BBL/D/1K
Oman,Asia,1061,BBL/D/1K
Azerbaijan,Asia,645,BBL/D/1K
Indonesia,Asia,624,BBL/D/1K
India,Asia,580,BBL/D/1K
Malaysia,Asia,523,BBL/D/1K
Turkmenistan,Asia,191,BBL/D/1K
Vietnam,Asia,174,BBL/D/1K
Bahrain,Asia,167,BBL/D/1K
Thailand,Asia,148,BBL/D/1K
Brunei,Asia,87,BBL/D/1K
Syria,Asia,85,BBL/D/1K
Pakistan,Asia,83,BBL/D/1K
Uzbekistan,Asia,33,BBL/D/1K
Mongolia,Asia,15,BBL/D/1K
Yemen,Asia,15,BBL/D/1K
United States,North America,12696,BBL/D/1K
Canada,North America,4625,BBL/D/1K
Brazil,South America,3262,BBL/D/1K
Mexico,North America,1929,BBL/D/1K
VenezuelaSouth America,South America,810,BBL/D/1K
Colombia,South America,749,BBL/D/1K
Argentina,South America,627,BBL/D/1K
Ecuador,South America,446,BBL/D/1K
Peru,South America,33,BBL/D/1K
Cuba,South America,31,BBL/D/1K
Bolivia,South America,25,BBL/D/1K
Suriname,South America,14,BBL/D/1K
Australia,Oceania,273,BBL/D/1K
Papua New Guinea,Oceania,35,BBL/D/1K
Russia,Europe ,10477,BBL/D/1K
Norway,Europe ,1799,BBL/D/1K
United Kingdom,Europe ,800,BBL/D/1K
Italy,Europe ,81,BBL/D/1K
Turkey,Europe ,71,BBL/D/1K
Denmark,Europe ,59,BBL/D/1K
Romania,Europe ,59,BBL/D/1K
Germany,Europe ,33,BBL/D/1K
Belarus,Europe ,30,BBL/D/1K
Netherlands,Europe ,27,BBL/D/1K
Poland,Europe ,19,BBL/D/1K
Hungary,Europe ,17,BBL/D/1K
Albania,Europe ,14,BBL/D/1K
Serbia,Europe ,14,BBL/D/1K
Croatia,Europe ,10,BBL/D/1K
